pclass,survived,sex,age,sibsp,parch,fare,embarked
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,8.05,S
Lower,No,male,42,0,0,7.65,S
Lower,Yes,male,NA,0,0,7.8875,S
Lower,No,male,30,0,0,7.2292,C
Lower,No,male,NA,0,0,7.8958,S
Lower,No,female,27,1,0,7.925,S
Lower,No,female,25,1,0,7.925,S
Lower,No,male,NA,0,0,7.8958,S
Lower,Yes,male,29,0,0,7.8958,C
Lower,Yes,male,21,0,0,7.7958,S
Lower,No,male,NA,0,0,7.05,S
Lower,No,male,20,0,0,7.8542,S
Lower,No,male,48,0,0,7.8542,S
Lower,No,male,17,1,0,7.0542,S
Lower,Yes,female,NA,0,0,7.75,Q
Lower,Yes,male,NA,0,0,8.1125,S
Lower,No,male,34,0,0,6.4958,S
Lower,Yes,male,26,0,0,7.775,S
Lower,No,male,22,0,0,7.7958,S
Lower,No,male,33,0,0,8.6542,S
Lower,No,male,31,0,0,7.775,S
Lower,No,male,29,0,0,7.8542,S
Lower,Yes,male,4,1,1,11.1333,S
Lower,Yes,female,1,1,1,11.1333,S
Lower,No,male,49,0,0,0,S
Lower,No,male,33,0,0,7.775,S
Lower,No,male,19,0,0,0,S
Lower,Yes,female,27,0,2,11.1333,S
Lower,No,male,NA,1,2,23.45,S
Lower,No,female,NA,1,2,23.45,S
Lower,No,male,NA,1,2,23.45,S
Lower,No,female,NA,1,2,23.45,S
Lower,No,male,23,0,0,7.8958,S
Lower,Yes,male,32,0,0,7.8542,S
Lower,No,male,27,0,0,7.8542,S
Lower,No,female,20,1,0,9.825,S
Lower,No,female,21,1,0,9.825,S
Lower,Yes,male,32,0,0,7.925,S
Lower,No,male,17,0,0,7.125,S
Lower,No,male,21,0,0,8.4333,S
Lower,No,male,30,0,0,7.8958,S
Lower,Yes,male,21,0,0,7.7958,S
Lower,No,male,33,0,0,7.8542,S
Lower,No,male,22,0,0,7.5208,S
Lower,Yes,female,4,0,1,13.4167,C
Lower,Yes,male,39,0,1,13.4167,C
Lower,No,male,NA,0,0,7.2292,C
Lower,No,male,18.5,0,0,7.2292,C
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,7.25,S
Lower,Yes,female,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.75,Q
Lower,No,male,34.5,0,0,7.8292,Q
Lower,No,male,44,0,0,8.05,S
Lower,Yes,male,NA,0,0,7.75,Q
Lower,No,male,NA,1,0,14.4542,C
Lower,No,female,NA,1,0,14.4542,C
Lower,No,male,NA,1,0,7.75,Q
Lower,No,male,NA,1,0,7.75,Q
Lower,No,male,NA,0,0,7.7375,Q
Lower,No,female,22,2,0,8.6625,S
Lower,No,male,26,2,0,8.6625,S
Lower,Yes,female,4,0,2,22.025,S
Lower,Yes,male,29,3,1,22.025,S
Lower,Yes,female,26,1,1,22.025,S
Lower,No,female,1,1,1,12.1833,S
Lower,No,male,18,1,1,7.8542,S
Lower,No,female,36,0,2,12.1833,S
Lower,No,male,NA,0,0,7.8958,C
Lower,Yes,male,25,0,0,7.2292,C
Lower,No,male,NA,0,0,7.225,C
Lower,No,female,37,0,0,9.5875,S
Lower,No,male,NA,0,0,7.8958,S
Lower,Yes,male,NA,0,0,56.4958,S
Lower,No,male,NA,0,0,56.4958,S
Lower,Yes,female,22,0,0,7.25,S
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,male,26,0,0,56.4958,S
Lower,No,male,29,0,0,9.4833,S
Lower,No,male,29,0,0,7.775,S
Lower,No,male,22,0,0,7.775,S
Lower,Yes,male,22,0,0,7.225,C
Lower,No,male,NA,3,1,25.4667,S
Lower,No,female,NA,3,1,25.4667,S
Lower,No,female,NA,3,1,25.4667,S
Lower,No,female,NA,3,1,25.4667,S
Lower,No,female,NA,0,4,25.4667,S
Lower,No,male,32,0,0,7.925,S
Lower,No,male,34.5,0,0,6.4375,C
Lower,No,female,NA,1,0,15.5,Q
Lower,No,male,NA,1,0,15.5,Q
Lower,No,male,36,0,0,0,S
Lower,No,male,39,0,0,24.15,S
Lower,No,male,24,0,0,9.5,S
Lower,No,female,25,0,0,7.775,S
Lower,No,female,45,0,0,7.75,S
Lower,No,male,36,1,0,15.55,S
Lower,No,female,30,1,0,15.55,S
Lower,Yes,male,20,1,0,7.925,S
Lower,No,male,NA,0,0,7.8792,Q
Lower,No,male,28,0,0,56.4958,S
Lower,No,male,NA,0,0,7.55,S
Lower,No,male,30,1,0,16.1,S
Lower,No,female,26,1,0,16.1,S
Lower,No,male,NA,0,0,7.8792,S
Lower,No,male,20.5,0,0,7.25,S
Lower,Yes,male,27,0,0,8.6625,S
Lower,No,male,51,0,0,7.0542,S
Lower,Yes,female,23,0,0,7.8542,S
Lower,Yes,male,32,0,0,7.5792,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,NA,0,0,7.55,S
Lower,Yes,female,NA,0,0,7.75,Q
Lower,Yes,male,24,0,0,7.1417,S
Lower,No,male,22,0,0,7.125,S
Lower,No,female,NA,0,0,7.8792,Q
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,29,0,0,7.925,S
Lower,Yes,male,NA,0,0,7.2292,C
Lower,No,female,30.5,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.7375,Q
Lower,No,male,NA,0,0,7.2292,C
Lower,No,male,35,0,0,7.8958,C
Lower,No,male,33,0,0,7.8958,S
Lower,Yes,female,NA,0,0,7.225,C
Lower,No,male,NA,0,0,7.8958,C
Lower,Yes,female,NA,0,0,7.75,Q
Lower,Yes,male,NA,0,0,7.75,Q
Lower,Yes,female,NA,2,0,23.25,Q
Lower,Yes,female,NA,2,0,23.25,Q
Lower,Yes,male,NA,2,0,23.25,Q
Lower,Yes,female,NA,0,0,7.7875,Q
Lower,No,male,NA,0,0,15.5,Q
Lower,Yes,female,NA,0,0,7.8792,Q
Lower,Yes,female,15,0,0,8.0292,Q
Lower,No,female,35,0,0,7.75,Q
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,24,1,0,16.1,S
Lower,No,female,19,1,0,16.1,S
Lower,No,female,NA,0,0,7.75,Q
Lower,No,female,NA,0,0,8.05,S
Lower,No,female,NA,0,0,8.05,S
Lower,No,male,55.5,0,0,8.05,S
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,male,21,0,0,7.775,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,24,0,0,7.8958,S
Lower,No,male,21,0,0,7.8958,S
Lower,No,male,28,0,0,7.8958,S
Lower,No,male,NA,0,0,7.8958,S
Lower,Yes,female,NA,0,0,7.8792,Q
Lower,No,male,25,0,0,7.65,S
Lower,Yes,male,6,0,1,12.475,S
Lower,Yes,female,27,0,1,12.475,S
Lower,No,male,NA,0,0,8.05,S
Lower,Yes,female,NA,1,0,24.15,Q
Lower,No,male,NA,1,0,24.15,Q
Lower,No,male,NA,0,0,8.4583,Q
Lower,No,male,34,0,0,8.05,S
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,male,NA,0,0,7.775,S
Lower,Yes,male,NA,1,1,15.2458,C
Lower,Yes,male,NA,1,1,15.2458,C
Lower,Yes,female,NA,0,2,15.2458,C
Lower,Yes,female,NA,0,0,7.2292,C
Lower,No,male,NA,0,0,8.05,S
Lower,Yes,female,NA,0,0,7.7333,Q
Lower,Yes,female,24,0,0,7.75,Q
Lower,No,male,NA,0,0,8.05,S
Lower,Yes,female,NA,1,0,15.5,Q
Lower,Yes,female,NA,1,0,15.5,Q
Lower,Yes,female,NA,0,0,15.5,Q
Lower,No,male,18,0,0,7.75,S
Lower,No,male,22,0,0,7.8958,S
Lower,Yes,female,15,0,0,7.225,C
Lower,Yes,female,1,0,2,15.7417,C
Lower,Yes,male,20,1,1,15.7417,C
Lower,Yes,female,19,1,1,15.7417,C
Lower,No,male,33,0,0,8.05,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,NA,0,0,7.2292,C
Lower,No,female,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,7.8958,S
Lower,Yes,male,12,1,0,11.2417,C
Lower,Yes,female,14,1,0,11.2417,C
Lower,No,female,29,0,0,7.925,S
Lower,No,male,28,0,0,8.05,S
Lower,Yes,female,18,0,0,7.775,S
Lower,Yes,female,26,0,0,7.8542,S
Lower,No,male,21,0,0,7.8542,S
Lower,No,male,41,0,0,7.125,S
Lower,Yes,male,39,0,0,7.925,S
Lower,No,male,21,0,0,7.8,S
Lower,No,male,28.5,0,0,7.2292,C
Lower,Yes,female,22,0,0,7.75,S
Lower,No,male,61,0,0,6.2375,S
Lower,No,male,NA,1,0,15.5,Q
Lower,No,male,NA,0,0,7.8292,Q
Lower,Yes,female,NA,1,0,15.5,Q
Lower,No,male,NA,0,0,7.7333,Q
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,23,0,0,9.225,S
Lower,No,female,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.8792,Q
Lower,Yes,female,22,0,0,7.775,S
Lower,Yes,male,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.8292,Q
Lower,Yes,male,9,0,1,3.1708,S
Lower,No,male,28,0,0,22.525,S
Lower,No,male,42,0,1,8.4042,S
Lower,No,male,NA,0,0,7.3125,S
Lower,No,female,31,0,0,7.8542,S
Lower,No,male,28,0,0,7.8542,S
Lower,Yes,male,32,0,0,7.775,S
Lower,No,male,20,0,0,9.225,S
Lower,No,female,23,0,0,8.6625,S
Lower,No,female,20,0,0,8.6625,S
Lower,No,male,20,0,0,8.6625,S
Lower,No,male,16,0,0,9.2167,S
Lower,Yes,female,31,0,0,8.6833,S
Lower,No,female,NA,0,0,7.6292,Q
Lower,No,male,2,3,1,21.075,S
Lower,No,male,6,3,1,21.075,S
Lower,No,female,3,3,1,21.075,S
Lower,No,female,8,3,1,21.075,S
Lower,No,female,29,0,4,21.075,S
Lower,No,male,1,4,1,39.6875,S
Lower,No,male,7,4,1,39.6875,S
Lower,No,male,2,4,1,39.6875,S
Lower,No,male,16,4,1,39.6875,S
Lower,No,male,14,4,1,39.6875,S
Lower,No,female,41,0,5,39.6875,S
Lower,No,male,21,0,0,8.6625,S
Lower,No,male,19,0,0,14.5,S
Lower,No,male,NA,0,0,8.7125,C
Lower,No,male,32,0,0,7.8958,S
Lower,No,male,0.75,1,1,13.775,S
Lower,No,female,3,1,1,13.775,S
Lower,No,female,26,0,2,13.775,S
Lower,No,male,NA,0,0,7,S
Lower,No,male,NA,0,0,7.775,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,21,0,0,7.925,S
Lower,No,male,25,0,0,7.925,S
Lower,No,male,22,0,0,7.25,S
Lower,Yes,male,25,1,0,7.775,S
Lower,Yes,male,NA,1,1,22.3583,C
Lower,Yes,female,NA,1,1,22.3583,C
Lower,Yes,female,NA,0,2,22.3583,C
Lower,No,female,NA,0,0,8.1375,Q
Lower,No,male,24,0,0,8.05,S
Lower,No,female,28,0,0,7.8958,S
Lower,No,male,19,0,0,7.8958,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,25,1,0,7.775,S
Lower,No,female,18,0,0,7.775,S
Lower,Yes,male,32,0,0,8.05,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,17,0,0,8.6625,S
Lower,No,male,24,0,0,8.6625,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,female,NA,0,0,8.1125,S
Lower,No,male,NA,0,0,7.2292,C
Lower,No,male,NA,0,0,7.25,S
Lower,No,male,38,0,0,7.8958,S
Lower,No,male,21,0,0,8.05,S
Lower,No,male,10,4,1,29.125,Q
Lower,No,male,4,4,1,29.125,Q
Lower,No,male,7,4,1,29.125,Q
Lower,No,male,2,4,1,29.125,Q
Lower,No,male,8,4,1,29.125,Q
Lower,No,female,39,0,5,29.125,Q
Lower,No,female,22,0,0,39.6875,S
Lower,No,male,35,0,0,7.125,S
Lower,Yes,female,NA,0,0,7.7208,Q
Lower,No,male,NA,0,0,14.5,S
Lower,No,female,NA,0,0,14.5,S
Lower,No,male,50,1,0,14.5,S
Lower,No,female,47,1,0,14.5,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,NA,0,0,7.775,S
Lower,No,female,2,1,1,20.2125,S
Lower,No,male,18,1,1,20.2125,S
Lower,No,female,41,0,2,20.2125,S
Lower,Yes,female,NA,0,0,8.05,S
Lower,No,male,50,0,0,8.05,S
Lower,No,male,16,0,0,8.05,S
Lower,Yes,male,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,24.15,Q
Lower,No,male,NA,0,0,7.2292,C
Lower,No,male,25,0,0,7.225,C
Lower,No,male,NA,0,0,7.225,C
Lower,No,male,NA,0,0,7.7292,Q
Lower,No,male,NA,0,0,7.575,S
Lower,No,male,38.5,0,0,7.25,S
Lower,No,male,NA,8,2,69.55,S
Lower,No,male,14.5,8,2,69.55,S
Lower,No,female,NA,8,2,69.55,S
Lower,No,female,NA,8,2,69.55,S
Lower,No,female,NA,8,2,69.55,S
Lower,No,female,NA,8,2,69.55,S
Lower,No,male,NA,8,2,69.55,S
Lower,No,male,NA,8,2,69.55,S
Lower,No,male,NA,8,2,69.55,S
Lower,No,male,NA,1,9,69.55,S
Lower,No,female,NA,1,9,69.55,S
Lower,No,male,24,0,0,9.325,S
Lower,Yes,female,21,0,0,7.65,S
Lower,No,male,39,0,0,7.925,S
Lower,No,male,NA,2,0,21.6792,C
Lower,No,male,NA,2,0,21.6792,C
Lower,No,male,NA,2,0,21.6792,C
Lower,Yes,female,1,1,1,16.7,S
Lower,Yes,female,24,0,2,16.7,S
Lower,Yes,female,4,1,1,16.7,S
Lower,Yes,male,25,0,0,9.5,S
Lower,No,male,20,0,0,8.05,S
Lower,No,male,24.5,0,0,8.05,S
Lower,No,male,NA,0,0,7.725,Q
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,male,29,0,0,9.5,S
Lower,No,male,NA,0,0,15.1,S
Lower,Yes,female,NA,0,0,7.7792,Q
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,22,0,0,7.2292,C
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,40,0,0,7.8958,S
Lower,No,male,21,0,0,7.925,S
Lower,Yes,female,18,0,0,7.4958,S
Lower,No,male,4,3,2,27.9,S
Lower,No,male,10,3,2,27.9,S
Lower,No,female,9,3,2,27.9,S
Lower,No,female,2,3,2,27.9,S
Lower,No,male,40,1,4,27.9,S
Lower,No,female,45,1,4,27.9,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,NA,0,0,8.6625,S
Lower,No,male,NA,0,0,7.75,Q
Lower,Yes,female,NA,0,0,7.7333,Q
Lower,No,male,19,0,0,7.65,S
Lower,No,male,30,0,0,8.05,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,32,0,0,8.05,S
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,33,0,0,8.6625,C
Lower,Yes,female,23,0,0,7.55,S
Lower,No,male,21,0,0,8.05,S
Lower,No,male,60.5,0,0,NA,S
Lower,No,male,19,0,0,7.8958,S
Lower,No,female,22,0,0,9.8375,S
Lower,Yes,male,31,0,0,7.925,S
Lower,No,male,27,0,0,8.6625,S
Lower,No,female,2,0,1,10.4625,S
Lower,No,female,29,1,1,10.4625,S
Lower,Yes,male,16,0,0,8.05,S
Lower,Yes,male,44,0,0,7.925,S
Lower,No,male,25,0,0,7.05,S
Lower,No,male,74,0,0,7.775,S
Lower,Yes,male,14,0,0,9.225,S
Lower,No,male,24,0,0,7.7958,S
Lower,Yes,male,25,0,0,7.7958,S
Lower,No,male,34,0,0,8.05,S
Lower,Yes,male,0.4167,0,1,8.5167,C
Lower,No,male,NA,1,0,6.4375,C
Lower,No,male,NA,0,0,6.4375,C
Lower,No,male,NA,0,0,7.225,C
Lower,Yes,female,16,1,1,8.5167,C
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,NA,1,0,16.1,S
Lower,Yes,female,NA,1,0,16.1,S
Lower,No,male,32,0,0,7.925,S
Lower,No,male,NA,0,0,7.75,Q
Lower,No,male,NA,0,0,7.8958,S
Lower,No,male,30.5,0,0,8.05,S
Lower,No,male,44,0,0,8.05,S
Lower,No,male,NA,0,0,7.2292,C
Lower,Yes,male,25,0,0,0,S
Lower,No,male,NA,0,0,7.2292,C
Lower,Yes,male,7,1,1,15.2458,C
Lower,Yes,female,9,1,1,15.2458,C
Lower,Yes,female,29,0,2,15.2458,C
Lower,No,male,36,0,0,7.8958,S
Lower,Yes,female,18,0,0,9.8417,S
Lower,Yes,female,63,0,0,9.5875,S
Lower,No,male,NA,1,1,14.5,S
Lower,No,male,11.5,1,1,14.5,S
Lower,No,male,40.5,0,2,14.5,S
Lower,No,female,10,0,2,24.15,S
Lower,No,male,36,1,1,24.15,S
Lower,No,female,30,1,1,24.15,S
Lower,No,male,NA,0,0,9.5,S
Lower,No,male,33,0,0,9.5,S
Lower,No,male,28,0,0,9.5,S
Lower,No,male,28,0,0,9.5,S
Lower,No,male,47,0,0,9,S
Lower,No,female,18,2,0,18,S
Lower,No,male,31,3,0,18,S
Lower,No,male,16,2,0,18,S
Lower,No,female,31,1,0,18,S
Lower,Yes,male,22,0,0,7.225,C
Lower,No,male,20,0,0,7.8542,S
Lower,No,female,14,0,0,7.8542,S
Lower,No,male,22,0,0,7.8958,S
Lower,No,male,22,0,0,9,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,NA,0,0,7.55,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,32.5,0,0,9.5,S
Lower,Yes,female,38,0,0,7.2292,C
Lower,No,male,51,0,0,7.75,S
Lower,No,male,18,1,0,6.4958,S
Lower,No,male,21,1,0,6.4958,S
Lower,Yes,female,47,1,0,7,S
Lower,No,male,NA,0,0,8.7125,S
Lower,No,male,NA,0,0,7.55,S
Lower,No,male,NA,0,0,8.05,S
Lower,No,male,28.5,0,0,16.1,S
Lower,No,male,21,0,0,7.25,S
Lower,No,male,27,0,0,8.6625,S
Lower,No,male,NA,0,0,7.25,S
Lower,No,male,36,0,0,9.5,S
Lower,No,male,27,1,0,14.4542,C
Lower,Yes,female,15,1,0,14.4542,C
Lower,No,male,45.5,0,0,7.225,C
Lower,No,male,NA,0,0,7.225,C
Lower,No,male,NA,0,0,14.4583,C
Lower,No,female,14.5,1,0,14.4542,C
Lower,No,female,NA,1,0,14.4542,C
Lower,No,male,26.5,0,0,7.225,C
Lower,No,male,27,0,0,7.225,C
Lower,No,male,29,0,0,7.875,S
